Name,GT,DC,QM
Công Ty TNHH Thương Mại Xuất Nhập Khẩu Good Harvest,"Công Ty TNHH Thương Mại Xuất Nhập Khẩu Good Harvest Công ty chúng tôi là một phần của Tập đoàn Unibear - một trong những nhà sản xuất xích truyền động, bánh xích và linh kiện xe máy hàng đầu thế giới. Hiện tại chúng tôi đã có mặt tại Việt Nam và đang tìm kiếm những nhân tài trong lĩnh vực nghiên cứu và xúc tiến thị trường. Nếu bạn thông thạo đường phố Thành phố Hồ Chí Minh và các thị trường phụ tùng xe máy, giỏi giao tiếp với mọi người hoặc có kinh nghiệm phân tích thị trường và phân tích dữ liệu, đồng thời có hiểu biết sâu sắc về thị trường và khả năng đưa ra các đề xuất tiếp thị quảng cáo, chúng tôi mời bạn đăng ký! 129 Đường số 23 - P11 - Quận 6 - TP Hồ Chí Minh.",129 Đường số 23 - Phường 11 - Quận 6 - TP Hồ Chí Minh.,10 - 150 người
Công Ty Cổ Phần Dịch Vụ Bảo Vệ Sao Vàng,"CÔNG TY CỔ PHẦN DỊCH VỤ BẢO VỆ SAO VÀNG (SAO VANG SECURITY SERVICE., JSC) Là một trong những doanh nghiệp hàng đầu về cung cấp dịch vụ bảo vệ chuyên nghiệp cho các tòa nhà, nhà máy, ngân hàng, siêu thị, công trường và các sự kiện kinh tế, văn hóa lớn,… Với đội ngũ lãnh đạo và chỉ huy có bề dày kinh nghiệm trong lĩnh vực bảo vệ chuyên nghiệp, đội ngũ nhân viên trẻ đầy năng lực, nhiệt tình, chúng tôi luôn tự tin đáp ứng kịp thời các yêu cầu của khách hàng.","135/1/33 Nguyễn Hữu Cảnh, Phường 22, Bình Thạnh, Tp.HCM",Trên 300 người
Công Ty TNHH Cch Top (Vn),"Công Ty TNHH CCH TOP (VN) thành lập từ năm 2002 tại Đường Tân Thuận, KCX Tân Thuận, Phường Tân Thuận Đông, Quận 7, TPHCM. Là Công Ty 100% vốn nước ngoài chuyên sản xuất nón vải các loại. Hiện có khoảng 1.900 công nhân.","Đường Tân Thuận, KCX Tân Thuận Q7 TPHCM",Trên 300 người
Công Ty TNHH Kobelco Compressors Việt Nam,"CÔNG TY TNHH KOBELCO COMPRESSORS VIỆT NAM Chi nhánh HCM: Số 37 Nguyễn Cơ Thạch, Phường An Lợi Đông, Thành phố Thủ Đức, Thành phố Hồ Chí Minh, Việt Nam. Trụ sở: 45 Lâm Hạ, Phường Bồ Đề, Quận Long Biên, Thành phố Hà Nội, Việt Nam. Nhằm đáp ứng mong muốn sử dụng máy nén khí Kobelco và cung cấp dịch vụ bảo dưỡng sửa chữa tốt hơn nữa cho khách hàng tại thị trường Việt Nam, tháng 12 năm 2010 Kobelco Machinery Asia Pte Ltd đã chính thức thành lập Công ty TNHH Kobelco Compressors Việt Nam. Kobelco trở thành hãng máy nén khí đầu tiên có trụ sở kinh doanh chính hãng tại Việt Nam. Máy nén khí Kobelco đã có mặt trong hầu hết Khu Công Nghiệp lớn của miền Bắc như Thăng Long I. Thăng Long II, Nomura Hải Phòng, VSIP, Phúc Điền, Tiên Sơn, Quế Võ… Cùng với đội ngũ nhân viên kỹ thuật được trang bị kiến thức đầy đủ, dày dạn kinh nghiệm thực tế, dịch vụ bảo dưỡng của Kobelco đã và đang chiếm được lòng tin của khách hàng sử dung máy nén Kobelco. Hơn 100% sự cố máy móc được giải quyết nhanh chóng hạn chế tối đa ảnh hưởng sản xuất của khách hàng.","Chi nhánh HCM: Số 37 Nguyễn Cơ Thạch, Phường An Lợi Đông, Thành phố Thủ Đức, Thành phố Hồ Chí Minh.
Trụ sở HN: Lô 30-31, Khu đấu giá X3, tổ 23, Phường Bồ Đề, Quận Long Biên, Thành phố Hà Nội.",10 - 150 người
Công Ty Cổ Phần Di Chuyển Xanh Và Thông Minh Gsm,"Ngày 6 tháng 3 năm 2023, Chủ tịch Tập đoàn Vingroup Phạm Nhật Vượng đã công bố thành lập Công ty Cổ phần Di chuyển Xanh và Thông minh (Green and Smart Mobility – GSM), là đơn vị cho thuê phương tiện giao thông xanh và đặt xe điện đa nền tảng đầu tiên trên thế giới. GSM hoạt động chủ yếu trên 2 lĩnh vực: dịch vụ đặt xe điện và cho thuê ô tô – xe máy điện với quy mô đầu tư 10.000 ô tô và 100.000 xe máy. Cụ thể, GSM cung cấp dịch vụ di chuyển bằng ô tô điện và xe máy điện. Đồng thời, GSM cũng cho các hãng vận tải thuê ô tô – xe máy điện để đáp ứng nhu cầu di chuyển bằng phương tiện giao thông xanh của hành khách. GSM đặt mục tiêu phổ cập thói quen sử dụng xe điện tới từng người dân, qua đó nâng cao nhận thức cộng đồng về sự thuận tiện, thông minh và bền vững của các dòng xe xanh. Thông qua các hình thức đa dạng, GSM sẽ góp phần đưa xe điện VinFast tiếp cận sâu rộng và linh hoạt nhất tới mọi tầng lớp khách hàng, từng bước kiến tạo thói quen sử dụng phương tiện xanh, thông minh và thân thiện với môi trường trong đời sống hàng ngày.","Tòa Văn phòng Symphony, đường Chu Huy Mân, khu đô thị Vinhomes Riverside, Phường Phúc Lợi, Quận Long Biên, Thành phố Hà Nội, Việt Nam",Trên 300 người
Công Ty Cổ Phần Đầu Tư Asa Group Quốc Tế - Sơn Viva,"Công ty cổ phần đầu tư ASA Group Quốc tế là đơn vị kinh doanh đa ngành nghề trong đó có kinh nghiệm hơn 10 năm trong lĩnh vực sản xuất sơn nước, bột bả và chất chống thấm thương hiệu Viva Paint là một trong những lĩnh vực trọng tâm, được chú trọng đầu tư và phát triển. Với hệ thống nhà máy trải phủ khắp 2 miền Bắc - Nam có tổng cán bộ công nhân viên 200 người. Tầm nhìn: Khao khát được khẳng định chất lượng sản phẩm và vị thế thương hiệu trong lòng người tiêu dùng, đồng thời đóng góp tích cực cho sự phát triển của ngành sơn Việt Nam nói riêng, của kinh tế Việt Nam nói chung, Sơn VIVA hướng tới chiến lược đầu tư- phát triển bền vững, mạnh mẽ đương đầu với thách thức và dũng cảm nhận lấy những cơ hội của thị trường. Sứ mệnh: Đối với cổ đông: Tôn trọng tinh thần hợp tác, giúp đỡ nhau cùng phát triển. Gia tăng các giá trị đầu tư bền vững, sinh lợi, có hiệu quả. Đối với nhân viên: Xây dựng nên một môi trường làm việc hiện đại, chuyên nghiệp, khuyến khích sự năng động, sáng tạo của nhân viên, đồng thời đảm bảo nguồn thu nhập cũng như cơ hổi phát triển, thăng tiến rộng mở, công bằng cho tất cả mọi người. Đối với xã hội: Bảo vệ môi trường và chia sẻ lợi ích với xã hội, tích cực đóng góp cho các hoạt động vì cộng đồng, cùng hướng tới một tương lai tốt đẹp, một đất nước phát triển phồn vinh. Giá trị cốt lõi của thương hiệu VIVA paint: Công ty cổ phần đầu tư ASA Group Quốc tế dù còn non trẻ, nhưng đã đặt ra những giá trị và nguyên tắc cốt lõi để luôn hướng tới, phấn đấu đạt được, thể hiện toàn diện và sâu sắc trong mọi hoạt động của công ty, đó là: Coi con người chính là tài sản quý giá nhất của công ty, là nguồn sức mạnh tiềm tàng giúp công ty bứt phá trong mọi hoạt động kinh doanh và văn hóa. Sức mạnh đó đến từ sự đoàn kết và cống hiến hết mình của mỗi nhân viên. Lợi nhuận trước mắt, ngắn hạn, ích kỷ Không bao giờ là mục tiêu mà công ty theo đuổi. Lợi ích lâu dài cho cả Công ty- Khách hàng- Xã hội mới là đích đến cuối cùng của Sơn VIVA. Xây dựng mối quan hệ tôn trọng và cùng phát triển với doanh nghiệp bạn, cùng giúp nhau đưa ngành sản xuất và kinh doanh sản phẩm sơn nói riêng, ngành vật liệu xây dựng trong nước nói chung cùng phát triển. Công bằng-rõ ràng-có văn hóa là yếu tố then chốt, định hướng sự phát triển lâu dài","Cụm Công nghiệp Thanh Oai, Xã Bích Hòa, Huyện Thanh Oai, Thành phố Hà Nội, Việt Nam",150 - 300 người
Công Ty TNHH Việt Nam Paiho,"VN Paiho là công ty 100% vốn đầu từ nước ngoài, trực thuộc tập đoàn Paiho của Đài Loan được thành lập từ năm 1999. Chuyên sản xuất các sản phẩm: băng dán dính, dây giày, dây đai, dây thun, sản phẩm phản quang từ các loại sợi nhân tạo, sản xuất các sản phẩm thêu bằng máy vi tính; dệt vải và may các sản phẩm từ sợi than tre; In lụa trên dây đai và các sản phẩm phụ liệu may mặc khác..... Là 1 trong những công ty đạt được những chứng nhận quốc tế của Bureau Veritas - Pháp (đơn vị dẫn đầu toàn cầu trong lĩnh vực thử nghiệm, đánh giá và chứng nhận) về: - ISO 9001:2015 (tiêu chuẩn về Hệ thống Quản lý Chất Lượng) - ISO 14001:2015 (tiêu chuẩn về Hệ thống Quản lý Môi Trường) - ISO 45001:2007 (tiêu chuẩn về Hệ thống Quản lý An toàn sức khỏe nghề nghiệp) - SA8000 (tiêu chuẩn về vấn đề Trách Nhiệm Xã Hội) - ISO 50001:2015 (tiêu chuẩn về sử dụng năng lượng)","Lô 30-32-34 Đường Số 3, KCN Tân Tạo, P.Tân Tạo A, Q Bình Tân, TP.HCM",Trên 300 người
Công Ty Cổ Phần Viễn Thông Fpt,Công Ty cổ phần viễn thông FPT,"Tầng 2, tòa nhà FPT Cầu Giấy, số 17 phố Duy Tân, Phường Dịch Vọng Hậu, Quận Cầu Giấy, Hà Nội",Trên 300 người
Công Ty CP Nhân Lực Quốc Tế Hoàng Minh,"Tiền thân là đơn vị du học các nước Âu – Á trên 13 năm với nhiều chi nhánh hoạt động trải dài khắp thế giới: Nhật Bản, Đài Loan, Hàn Quốc, Đức, Úc… và các tỉnh thành trong nước Việt Nam, HM Manpower được thành lập với sứ mệnh nâng cao chất lượng nguồn nhân lực Việt Nam, mong mỏi đưa nhiều lao động Việt vươn tầm thế giới, tiếp thu những tinh hoa quốc tế và nâng tầm vị thế Việt. Với nhiều năm kinh nghiệm và hợp tác lâu dài với nhiều trường học, doanh nghiệp nước ngoài cùng đội ngũ cán bộ chuyên nghiệp, HM Manpower chính là đơn vị uy tín trong lĩnh vực đào tạo du học sinh, thực tập sinh, người lao động trở thành những nhân tố có ích, mang lại những giá trị tốt đẹp cho Việt Nam nói riêng và thế giới nói chung. SỨ MỆNH: Nâng tầm chất lượng nguồn nhân lực Việt Nam Giáo dục để thành người Đào tạo để thành tài Lao động để thành đạt Cộng lực để thành công LIÊN HỆ: Website: https://nhanluchm.vn/vi Fanpage: https://www.facebook.com/xkldhoangminh","55/6A đường số 35, khu phố 7 - Phường Hiệp Bình Chánh - Thành phố Thủ Đức - TP Hồ Chí Minh.",150 - 300 người
Công Ty TNHH Việt Nam Paiho,"VN Paiho là công ty 100% vốn đầu từ nước ngoài, trực thuộc tập đoàn Paiho của Đài Loan được thành lập từ năm 1999. Chuyên sản xuất các sản phẩm: băng dán dính, dây giày, dây đai, dây thun, sản phẩm phản quang từ các loại sợi nhân tạo, sản xuất các sản phẩm thêu bằng máy vi tính; dệt vải và may các sản phẩm từ sợi than tre; In lụa trên dây đai và các sản phẩm phụ liệu may mặc khác..... Là 1 trong những công ty đạt được những chứng nhận quốc tế của Bureau Veritas - Pháp (đơn vị dẫn đầu toàn cầu trong lĩnh vực thử nghiệm, đánh giá và chứng nhận) về: - ISO 9001:2015 (tiêu chuẩn về Hệ thống Quản lý Chất Lượng) - ISO 14001:2015 (tiêu chuẩn về Hệ thống Quản lý Môi Trường) - ISO 45001:2007 (tiêu chuẩn về Hệ thống Quản lý An toàn sức khỏe nghề nghiệp) - SA8000 (tiêu chuẩn về vấn đề Trách Nhiệm Xã Hội) - ISO 50001:2015 (tiêu chuẩn về sử dụng năng lượng)","Lô 30-32-34 Đường Số 3, KCN Tân Tạo, P.Tân Tạo A, Q Bình Tân, TP.HCM",Trên 300 người
Trường Mẫu Giáo - Th - Thcs - Thpt Văn Lang (Công Ty TNHH Giáo Dục Duy Thịnh),"TRƯỜNG MẪU GIÁO - TIỂU HỌC - THCS - THPT VĂN LANG thuộc quản lý của CÔNG TY TNHH GIÁO DỤC DUY THỊNH Trường Văn Lang được thành lập năm 1978, là tiền thân của trường MG - TiH - THCS - THPT Văn Lang hiện nay. Trường gồm 2 cơ sở, đặt tại số 84 Tân Hưng, và số 2 Tân Thành P.12 Quận 5, thành phố Hồ Chí Minh. Đối tượng học sinh chủ yếu ở đây là con em người Hoa đang sinh sống tại Tp.HCM. Với mô hình trường học song ngữ, học sinh được học song song hai chương trình ngôn ngữ: Tiếng Việt buổi sáng và Tiếng Hoa buổi chiều. Suốt chặng đường hơn 40 năm, nhà trường luôn đặt mục tiêu giáo dục nhân cách đạo đức của học sinh là ưu tiên hàng đầu. Bài học vỡ lòng của học sinh Văn Lang là bài học trung thực và yêu thương. Thầy cô luôn kỳ vọng mỗi học sinh bước ra từ trường Văn Lang sẽ là một người tử tế, sống chan hòa, biết yêu thương mọi người, biết tôn trọng sự khác biệt, sẵn sàng lên tiếng trước những điều tiêu cực,… Ở Văn Lang, học sinh là trung tâm của công tác giáo dục và giảng dạy. Mỗi học sinh được tạo điều kiện tốt nhất để nuôi dưỡng và phát huy khả năng của riêng mình. Tập thể giáo viên luôn tích cực tìm kiếm những phương pháp giảng dạy mới và phù hợp với học sinh nhằm tạo ra môi trường học tập hiệu quả, năng động. Bên cạnh việc học kiến thức, học sinh Văn Lang còn được rèn giũa những kĩ năng sống cần thiết để trở thành những con người hoàn thiện và tự chủ. Chính vì vậy mà các hoạt động ngoại khóa, các câu lạc bộ kĩ sư, sự kiện, robotech, góc đọc sách,… được nhà trường đặc biệt quan tâm và tổ chức thường xuyên trong năm học.","12 Thuận Kiều, P.12, Quận 5, TP. HCM",150 - 300 người
Công Ty Cổ Phần Di Chuyển Xanh Và Thông Minh Gsm,"Ngày 6 tháng 3 năm 2023, Chủ tịch Tập đoàn Vingroup Phạm Nhật Vượng đã công bố thành lập Công ty Cổ phần Di chuyển Xanh và Thông minh (Green and Smart Mobility – GSM), là đơn vị cho thuê phương tiện giao thông xanh và đặt xe điện đa nền tảng đầu tiên trên thế giới. GSM hoạt động chủ yếu trên 2 lĩnh vực: dịch vụ đặt xe điện và cho thuê ô tô – xe máy điện với quy mô đầu tư 10.000 ô tô và 100.000 xe máy. Cụ thể, GSM cung cấp dịch vụ di chuyển bằng ô tô điện và xe máy điện. Đồng thời, GSM cũng cho các hãng vận tải thuê ô tô – xe máy điện để đáp ứng nhu cầu di chuyển bằng phương tiện giao thông xanh của hành khách. GSM đặt mục tiêu phổ cập thói quen sử dụng xe điện tới từng người dân, qua đó nâng cao nhận thức cộng đồng về sự thuận tiện, thông minh và bền vững của các dòng xe xanh. Thông qua các hình thức đa dạng, GSM sẽ góp phần đưa xe điện VinFast tiếp cận sâu rộng và linh hoạt nhất tới mọi tầng lớp khách hàng, từng bước kiến tạo thói quen sử dụng phương tiện xanh, thông minh và thân thiện với môi trường trong đời sống hàng ngày.","Tòa Văn phòng Symphony, đường Chu Huy Mân, khu đô thị Vinhomes Riverside, Phường Phúc Lợi, Quận Long Biên, Thành phố Hà Nội, Việt Nam",Trên 300 người
